SA2_CODE16,avg_income,Median_tot_fam_inc_weekly,Tot_P_P,Median_age_persons,Median_rent_weekly
209031209,2453.208907,2386,22899,41,377
209031210,1997.19801,2034,3450,40,331
209031211,1699.185714,1693,3844,41,285
209031212,2211.111072,2071,5152,44,210
209031213,2509.844713,2344,9365,40,400
209031214,2650.656026,2469,6706,41,405
209031215,2334.558264,2231,13698,38,369
209041216,1858.638863,1786,7451,31,341
209041217,1483.287519,1386,6192,39,340
209041219,1409.193275,1222,22808,37,315
209041220,1843.950778,1704,17824,38,331
209041221,1715.628832,1570,11891,36,331
209041223,1333.726075,1109,20311,38,311
209041224,1869.177477,1788,16219,34,318
209041225,1781.393654,1765,8127,41,300
209041430,1993.089426,1926,20937,31,351
209041431,1645.718835,1487,13167,35,321
209041432,1452.044454,1317,8334,36,311
209041433,1818.094748,1655,10885,31,350
209041434,1854.686434,1772,16458,31,346
209041435,2069.911655,1949,12048,32,361
209041436,1806.570777,1753,12009,36,341
209041437,1811.778027,1607,9060,30,346
210011226,1722.934171,1696,7564,40,350
210011227,,0,0,0,0
210011228,1974.066143,1844,8505,44,351
210011229,1824.851314,1656,26147,43,350
210011230,2118.589451,2191,6923,39,371
210011231,2430.097709,2399,9428,40,400
210021232,2201.034134,2133,12831,39,351
210021233,2340.459419,2245,3381,44,343
210021234,2132.345758,2070,4010,42,330
210021235,1883.482829,1807,9360,42,295
210031236,1833.799343,1852,7678,37,346
210031237,1428.904368,1235,13768,34,330
210031239,1875.951713,1916,23447,35,350
210031438,1550.303811,1437,22107,34,326
210031439,2030.617271,2100,2904,37,380
210031440,1408.291073,1362,5604,38,315
210041240,2000.833835,1903,12715,39,315
210041241,1786.837816,1803,26655,37,315
210051242,1187.218324,1005,13305,31,295
210051243,1192.920811,1004,16122,33,290
210051245,1691.487053,1602,17608,41,327
210051246,2286.463439,2020,16292,35,390
210051247,1305.303219,1076,14842,31,300
210051248,2733,3249,181,36,0
210051249,1650.860103,1318,21817,29,346
210051250,1465.563186,1434,6458,38,316
